EventName,AthleteGender,mean,median,std,min,max
10000m,M         ,1674.2780508474575,1673.815,40.45571252191113,1603.14,1761.1
10000m,W         ,1885.4497196261682,1879.96,56.90097711894288,1795.32,2154.18
100m,M         ,9.922368421052632,9.895,0.09370552524960522,9.76,10.08
100m,W         ,10.895128205128206,10.92,0.13676471911301563,10.61,11.19
100m Hurdles,M         ,,,,,
100m Hurdles,W         ,12.535675675675675,12.49,0.2321941302318257,12.06,13.24
110m Hurdles,M         ,13.2325,13.195,0.19122723954200946,12.96,13.87
110m Hurdles,W         ,,,,,
1500m,M         ,213.57183908045977,212.77,3.9858670466209327,207.65,224.48
1500m,W         ,240.89558139534884,240.95,5.393035073598311,231.29,255.13
200m,M         ,19.992682926829268,20.02,0.2899915894491073,19.31,20.57
200m,W         ,22.24175,22.235,0.4546787397825601,21.41,24.0
3000m Steeplechase,M         ,498.00499999999994,496.465,9.675768427709844,481.35,520.23
3000m Steeplechase,W         ,553.6530136986302,553.53,12.880169694030908,532.76,592.66
400m,M         ,44.83764705882353,44.79,0.8163641056178174,43.4,46.85
400m,W         ,50.05843137254902,49.97,1.0036720032939448,48.14,52.67
400m Hurdles,M         ,47.800769230769234,47.81,1.0927377125834112,45.94,52.53
400m Hurdles,W         ,53.276153846153846,53.34,1.2770744020377554,50.37,55.84
5000m,M         ,797.0151807228915,795.13,11.817955165603278,778.15,829.69
5000m,W         ,892.1832894736841,893.335,14.765987709431675,866.72,929.03
800m,M         ,105.01094339622641,105.27,1.7292976165872653,101.19,108.77
800m,W         ,119.10611111111112,118.27000000000001,2.5192522225863554,115.21,125.53
Discus Throw,M         ,65.78349999999999,65.88499999999999,2.5667877603689107,61.18,71.46
Discus Throw,W         ,63.87084745762712,63.46,3.34712964428329,56.47,69.5
Hammer Throw,M         ,77.84349999999999,77.555,2.577182685263181,72.56,84.12
Hammer Throw,W         ,73.22896551724138,73.445,2.4704191629954897,68.12,78.96
High Jump,M         ,2.2791954022988503,2.28,0.06012039066709544,2.15,2.37
High Jump,W         ,1.9401190476190475,1.95,0.05233106031584717,1.84,2.04
Javelin Throw,M         ,83.61627118644067,83.3,3.8031325102745384,74.56,92.97
Javelin Throw,W         ,61.81864406779661,62.28,2.93005852455798,54.85,66.91
Long Jump,M         ,8.033139534883722,8.004999999999999,0.24951369939005458,7.59,8.69
Long Jump,W         ,6.694831460674157,6.71,0.23984896933255243,6.12,7.3
Pole Vault,M         ,5.786190476190477,5.75,0.15947130090338704,5.5,6.25
Pole Vault,W         ,4.629166666666666,4.6,0.1656989449298853,4.3,4.95
Shot Put,M         ,21.31123595505618,21.4,0.9859580253659143,19.28,23.51
Shot Put,W         ,18.826813186813187,18.93,0.9892622156838551,16.08,20.58
Triple Jump,M         ,17.006144578313254,17.01,0.5429432691141353,15.01,17.98
Triple Jump,W         ,14.377078651685393,14.4,0.5294319473978066,12.57,15.74
